# Seed:  123456789
#
# flag: >0: detected; >2: characterized; 0 mod(2): tracked
# Survey: name of the block
# delta_ra: distance from center of pointing [arcsec]
# delt_dec: distance from center of pointing [arcsec]
#
#   a      e        i        q        r        M      m_rand H_rand color flag delta    m_int    H_int eff   RA(H)     DEC    delta_ra delt_dec Surv. Comments
  45.954  0.093    2.092   41.694   42.788   38.488   24.134   7.76  0.00  2   41.809   23.962   7.59 0.04 19.17692 -23.9836  2.76831 -0.32520 L4o-sm f         
  44.216  0.039    2.362   42.496   42.621   21.423   24.352   8.00 -0.80  1   41.638   25.100   8.75 0.09 21.99973 -13.6707  2.65822 -1.01677 presur c         
  40.336  0.040   18.915   38.735   39.844   69.850   23.500   7.43  0.00  2   38.873   23.361   7.29 0.39 16.01829 -20.3349  2.99060  0.39564 L5j-sm h         
  43.990  0.083   13.825   40.334   41.100  325.095   23.701   7.55  0.00  4   40.116   23.580   7.43 0.74  2.54661  15.1010  3.00427 -0.84036 L4v-sm h         
  40.604  0.075   25.487   37.542   39.394   62.814   24.028   8.03 -0.80  3   38.406   24.723   8.72 0.43 21.90558 -13.1098  2.86268 -1.32263 presur h         
  41.264  0.121   13.149   36.259   38.610   52.049   23.459   7.52  0.00  4   37.644   23.599   7.66 0.42 15.95477 -20.3677  3.01725  0.47291 L5j-sm h         
  40.861  0.141   21.663   35.112   46.200  204.804   24.063   7.35 -0.70  2   45.240   24.612   7.90 0.06 13.08925  -7.6757  2.42185  1.19095 L3h-sm h         
  45.674  0.137    1.860   39.421   39.421   -1.434   23.157   7.14 -0.80  4   38.443   24.057   8.04 0.87 22.08052 -13.7470  2.80846 -1.08471 presur f         
  44.820  0.048    1.124   42.691   46.867  196.423   23.847   7.08 -0.80  3   45.885   24.772   8.01 0.62 21.98520 -12.2493  2.46451 -0.89142 presur f         
  44.272  0.101    3.852   39.822   46.448  114.247   23.787   7.07  0.00  4   45.471   24.199   7.48 0.58 15.16063 -16.0225  2.56549  0.71194 L4j-sm f         
  43.502  0.164   35.313   36.363   38.675   40.523   23.508   7.59  0.00  4   37.682   23.574   7.66 0.76 15.30194 -18.3348  3.25151  0.47486 L4k-sm h         
  45.010  0.210   19.922   35.562   36.175  343.469   24.297   8.69  0.00  2   35.184   24.218   8.61 0.06 23.67184  -1.2677  3.03065 -1.60185 L3s-sm h         
  44.296  0.134   12.524   38.347   39.500  328.221   23.674   7.68  0.00  3   38.503   23.918   7.92 0.64 21.01432 -17.3088  2.93685 -1.00522 L4p-sm h         
  43.129  0.031    2.316   41.783   44.440  166.546   23.366   6.82 -0.70  3   43.486   24.079   7.53 0.69 13.00036  -8.2634  2.49980  1.05915 L3h-sm f         
  44.039  0.074    3.105   40.767   40.939   17.435   24.053   7.90  0.00  4   39.961   24.539   8.39 0.63  2.35668  15.0040  2.92282 -0.98022 L4v-sm c         
  44.047  0.050    3.594   41.827   45.812  219.010   24.248   7.61  0.00  2   44.843   24.230   7.59 0.09  8.73203  17.8226  2.71905  0.76260 L7a-sm c         
