# Seed:  123456789
#
# Creation time: 2020-04-24T09:18:37.000  +0200
#
# flag: >0: detected; >2: characterized; 0 mod(2): tracked
# Survey: name of the block
#
#   a      e        i        q        r        M       node     peri  m_rand H_rand color flag delta    m_int    H_int eff   RA(H)     DEC    Surv. Comments
  45.954  0.093    2.092   41.694   42.788   38.488   61.043  179.706  24.25   7.88  0.00  2   41.809   23.962   7.59 0.02 19.17692 -23.9836 L4o-smooth f         
  44.216  0.039    2.362   42.496   42.621   21.423  113.053  190.814  24.41   8.06 -0.80  1   41.638   25.100   8.75 0.06 21.99973 -13.6707 presurvey- c         
  40.336  0.040   18.915   38.735   39.844   69.850   63.558  104.935  23.58   7.51  0.00  2   38.873   23.361   7.29 0.34 16.01829 -20.3349 L5j-smooth h         
  43.990  0.083   13.825   40.334   41.100  325.095   40.454   41.207  23.71   7.56  0.00  4   40.116   23.580   7.43 0.74  2.54661  15.1010 L4v-smooth h         
  40.604  0.075   25.487   37.542   39.394   62.814  145.151  109.981  23.92   7.91 -0.80  3   38.406   24.723   8.72 0.56 21.90558 -13.1098 presurvey- h         
  41.264  0.121   13.149   36.259   38.610   52.049   62.230  115.616  23.46   7.52  0.00  4   37.644   23.599   7.66 0.42 15.95477 -20.3677 L5j-smooth h         
  40.861  0.141   21.663   35.112   46.200  204.804  200.025  159.245  24.09   7.38 -0.70  2   45.240   24.612   7.90 0.04 13.08925  -7.6757 L3h-smooth h         
  45.674  0.137    1.860   39.421   39.421   -1.434   74.402  255.509  23.16   7.14 -0.80  4   38.443   24.057   8.04 0.87 22.08052 -13.7470 presurvey- f         
  44.820  0.048    1.124   42.691   46.867  196.423  324.409  167.913  23.85   7.08 -0.80  3   45.885   24.772   8.01 0.62 21.98520 -12.2493 presurvey- f         
  44.272  0.101    3.852   39.822   46.448  114.247   73.357   31.524  23.79   7.07  0.00  4   45.471   24.199   7.48 0.58 15.16063 -16.0225 L4j-smooth f         
  43.502  0.164   35.313   36.363   38.675   40.523   52.164  125.307  23.51   7.59  0.00  4   37.682   23.574   7.66 0.76 15.30194 -18.3348 L4k-smooth h         
  45.010  0.210   19.922   35.562   36.175  343.469  177.344  203.333  24.38   8.77  0.00  2   35.184   24.218   8.61 0.03 23.67184  -1.2677 L3s-smooth h         
  44.296  0.134   12.524   38.347   39.500  328.221  131.550  222.583  23.67   7.68  0.00  3   38.503   23.918   7.92 0.64 21.01432 -17.3088 L4p-smooth h         
  43.129  0.031    2.316   41.783   44.440  166.546  330.976   59.122  23.37   6.82 -0.70  3   43.486   24.079   7.53 0.69 13.00036  -8.2634 L3h-smooth f         
  44.039  0.074    3.105   40.767   40.939   17.435   22.329  355.689  24.05   7.90  0.00  4   39.961   24.539   8.39 0.63  2.35668  15.0040 L4v-smooth c         
  44.047  0.050    3.594   41.827   45.812  219.010  132.949  139.912  24.19   7.55  0.00  2   44.843   24.230   7.59 0.14  8.73203  17.8226 L7a-smooth c         
  42.506  0.020    2.253   41.643   41.644    6.098  101.263  218.900  23.53   7.30  0.00  4   40.653   23.494   7.26 0.72 21.93582 -14.3176 L3q-smooth f         
  44.178  0.011    2.912   43.679   44.056  285.001  252.827  253.365  24.11   7.62  0.00  4   43.102   23.921   7.43 0.53  4.52969  22.0434 L3w-smooth f         
  43.255  0.012    2.056   42.753   42.782  340.961   36.324  174.101  23.76   7.42  0.00  2   41.794   23.682   7.35 0.39 12.70597  -3.5758 L3f-smooth f         
  44.935  0.015    0.554   44.274   45.309  236.459  180.533  146.788  23.49   6.88  0.00  4   44.333   23.483   6.87 0.76 13.36563  -8.4001 L4h-smooth f         
